naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue,lgbm_avg_future_productivity,lgbm_avg_future_revenue
324110,Petroleum Refineries,Petroleum Refineries,324110 | Petroleum Refineries,324110 - Petroleum Refineries,exact,1057.8472,6020.887,1003.3954962536574,4397.296173021952
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2912.161,5429.0684,1917.8284947756267,4272.967743009497
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,1001.0015,4631.7896,1019.8315364164594,3901.1547941955896
325193,Ethyl Alcohol Manufacturing,Ethyl Alcohol Mfg,325193 | Ethyl Alcohol Mfg,325193 - Ethyl Alcohol Manufacturing,exact,664.31067,2828.1895,823.9989404696439,3227.1652534007108
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2536.3816,3073.4739,1898.0559499844817,2466.4058468957523
325199,All Other Basic Organic Chemical Manufacturing,All Other Basic Organic Chem Mfg,325199 | All Other Basic Organic Chem Mfg,325199 - All Other Basic Organic Chemical Manufacturing,exact,550.4712,1260.4849,636.130610734999,2127.513131372451
336112,Automobile and Light Duty Motor Vehicle ManufacturingT,Automobile & Light Duty Motor Vehicle...,336112 | Automobile & Light Duty Motor Vehicle...,336112 - Automobile and Light Duty Motor Vehicle ManufacturingT,prefix_5_digit,540.2263,2166.7156,527.2757052047549,1867.5938788675687
336111,Automobile and Light Duty Motor Vehicle ManufacturingT,Automobile & Light Duty Motor Vehicle...,336111 | Automobile & Light Duty Motor Vehicle...,336111 - Automobile and Light Duty Motor Vehicle ManufacturingT,prefix_5_digit,350.81268,1553.0504,347.3895086645604,1840.7878109256908
331110,Iron and Steel Mills and Ferroalloy Manufacturing,Iron & Steel Mills & Ferroalloy Mfg,331110 | Iron & Steel Mills & Ferroalloy Mfg,331110 - Iron and Steel Mills and Ferroalloy Manufacturing,exact,328.1236,906.702,518.0260165359399,1785.5341640743989
311225,Fats and Oils Refining and Blending,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,exact,390.50186,1602.2849,454.2707509982361,1550.1576040075718
331315,"Aluminum Sheet, Plate, and Foil Manufacturing","Aluminum Sheet, Plate, & Foil Mfg","331315 | Aluminum Sheet, Plate, & Foil Mfg","331315 - Aluminum Sheet, Plate, and Foil Manufacturing",exact,541.2532,1080.5145,412.9884622775167,1520.165873279517
325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide & Other Agricultural Chem Mfg,325320 | Pesticide & Other Agricultural Chem Mfg,325320 - Pesticide and Other Agricultural Chemical Manufacturing,exact,620.2545,1354.9951,623.3555389517473,1516.3345156240875
324191,Petroleum Lubricating Oil and Grease Manufacturing,Petroleum Lubricating Oil & Grease Mfg,324191 | Petroleum Lubricating Oil & Grease Mfg,324191 - Petroleum Lubricating Oil and Grease Manufacturing,exact,511.00662,1401.5441,612.7227332567322,1475.5532022385914
334413,Semiconductor and Related Device Manufacturing,Semiconductor & Related Device Mfg,334413 | Semiconductor & Related Device Mfg,334413 - Semiconductor and Related Device Manufacturing,exact,307.61163,500.10025,683.2839525169718,1448.8478048625639
325211,Plastics Material and Resin Manufacturing,Plast Material & Resin Mfg,325211 | Plast Material & Resin Mfg,325211 - Plastics Material and Resin Manufacturing,exact,380.2516,1285.1393,626.9459929995525,1448.5152005156463
